cod_prestador_ts,nome_arquivo
219267,NR6_9367648.032
219400,NR6_9328390.172
219270,NR6_9475632.035
219284,NR6_9467534.051
219289,NR6_7671596.056
219291,NR6_9439502.058
219296,NR6_9416962.064
219296,NR6_9413586.064
219406,NR6_7533400.178
219419,NR6_9449269.192
219426,NR6_9436734.199
219527,NR6_9434613.300
219448,NR6_9413603.221
219296,NR6_9382366.064
219311,NR4_9209775_2.080
219311,NR6_9365976.080
219249,NR6_9465539.014
219253,NR6_9474179.018
219261,NR6_9371159.026
219267,NR4_9266528_2.032
219284,NR6_9467533.051
219297,NR6_9323996.065
219297,NR6_9414618.065
219379,NR6_9402978.151
219462,NR6_9383436.235
219237,NR6_9394282.001
219237,NR6_9414139.001
219237,NR6_9414643.001
219238,NR6_9521105.002
219243,NR6_9416404.008
219267,NR4_9275117_1.032
219267,NR6_9286704.032
219267,NR6_9266531.032
219282,NR4_9226603_1.049
219284,NR6_9475881.051
219296,NR8_8163640.064
219297,NR8_9194785.065
219318,NR6_9449436.088
219318,NR6_9439163.088
219328,NR6_9492923.098
219328,NR6_9415341.098
219328,NR6_9476290.098
219329,NR8_9275033.099
219368,NR6_9471858.140
219400,NR6_9343307.172
219461,NR4_9420202_1.234
219567,NR4_9286267_1.340
219644,NR6_9434648.975
219648,NR6_9474637.979
219311,NR6_9436930.080
219238,NR6_9526357.002
219238,NR6_9542891.002
219238,NR6_9472771.002
219243,NR6_9523684.008
219249,NR6_9450011.014
219281,NR6_9436703.048
219281,NR6_9383374.048
219295,NR6_9487985.063
219296,NR6_9440531.064
219311,NR4_9371470_1.080
219311,NR6_9526922.080
219313,NR8_7590223.082
219657,NR6_9540636.988
219237,NR6_9381296.001
219238,NR6_9491732.002
219238,NR6_9538379.002
219238,NR6_9546718.002
219242,NR6_9473236.006
219267,NR4_9275117_1.032
219267,NR8_9363926.032
219267,NR6_9414884.032
219267,NR6_9419953.032
219295,NR6_9540230.063
219313,NR8_7661416.082
219639,NR6_9520026.970
219639,NR6_9492483.970
219639,NR4_9474737_1.970
219639,NR6_9520982.970
219639,NR6_9472301.970
219639,NR6_9520099.970
219639,NR6_9493047.970
219639,NR6_9435474.970
219238,NR6_9559417.002
219267,NR6_9434810.032
219267,NR6_9402803.032
219267,NR6_9402809.032
219267,NR6_9432482.032
219282,NR6_9322357.049
219297,NR4_9323997_1.065
219311,NR6_9467740.080
219346,NR4_9492805_1.116
219372,NR6_9541099.144
219520,NR6_9403452.293
219624,NR6_9492372.855
219237,NR4_9432116_1.001
219242,NR4_9474784_1.006
219249,NR6_8863918.014
219374,NR6_9492006.146
219425,NR6_9487491.198
219511,NR6_9541274.284
219511,NR6_9487271.284
219644,NR6_9581568.975
219239,NR4_0028427_2.003
219239,NR8_0028428.003
219239,NR4_0060845_1.003
219248,NR4_2576394_1.013
219248,NR4_2580726_1.013
219267,NR8___86326.032
219267,NR8__106391.032
219267,NR4__210597_1.032
219267,NR8___45729.032
219267,NR8__163421.032
219267,NR6__209715.032
219269,NR4___63117_1.034
219269,NR6___19994.034
219269,NR4___19969_1.034
219269,NR4___57406_1.034
219269,NR4___20022_1.034
219269,NR4___63481_1.034
219269,NR6___63992.034
219269,NR4___63991_1.034
219269,NR6___63993.034
219403,NR6__449676.175
219403,NR6__449873.175
219432,NR6_2910224.205
219479,NR8__256887.252
219239,NR4_0058722_1.003
219239,NR4_0059669_1.003
219239,NR8_0060845.003
219239,NR4_0058721_1.003
219239,NR4_0058555_1.003
219239,NR4_0037862_1.003
219267,NR4__117688_2.032
219267,NR4__226619_1.032
219267,NR4__227670_1.032
219267,NR8__106392.032
219269,NR8_5827024.034
219295,NR4_4732026_1.063
219404,NR6___18251.176
219641,NR4_0001273_2.972
219242,NR4_2600717_2.006
219267,NR6__228853.032
219267,NR8__170016.032
219267,NR8__257394.032
219267,NR8__226619.032
219267,NR4__229250_1.032
219267,NR4__226621_1.032
219295,NR4_6782026_1.063
219239,NR3_0060852_1.003
